#Chinese	#English	#Sentences
七誡運動歌	Song of Encouragement
 	 	The ex-officio delegate acted as a bridge between the committee and various chapters at the meeting, ensuring smooth communication.
 	 	他的當然代表角色使他在國際佛光會的各項決策進程中持有重要的發言權。
 	 	His role as an ex-officio delegate granted him a significant voice in the decision-making processes of BLIA.
當選證書	Election Certificate
 	 	在擔任國際佛光會( BLIA)會長後，他收到了當選證書，象徵著他的責任與承諾。
 	 	After being elected as the president of BLIA, he received the election certificate, symbolizing his responsibilities and commitment.
 	 	理事會舉辦了一個隆重的頒獎典禮，為新當選的成員頒發當選證書。
 	 	The council held a formal award ceremony to present the election certificates to the newly elected members.
 	 	當選證書在行政文書組的辦公室中存檔，作為未來的參考記錄。
 	 	The election certificate is archived in the office of the administrative documentation team for future reference.
 	 	他驕傲地展示自己的當選證書，上面簽有多位資深成員的名字。
 	 	He proudly displayed his election certificate, which bore the signatures of several senior members.
發心與發展	To Resolve and To Develop
 	 	國際佛光會理事會鼓勵會員們發心與發展，以達到個人和組織的進步。
 	 	The BLIA board encourages its members to resolve and to develop, aiming for both personal and organizational advancement.
 	 	他發心與發展，決定投身於莊嚴的佛教義工工作。
 	 	He resolved and committed to develop, choosing to engage earnestly in voluntary work at the Buddhist services.
 	 	這個項目結合瞭解發心與發展原則，以促進社區的可持續性。
 	 	The project integrates the principles of resolve and development to promote sustainability within the community.
 	 	在國際佛光會主席的帶領下，發心與發展被視為組織成功的關鍵。
 	 	Under the leadership of the BLIA president, resolve and development are viewed as key to the organization's success.
白象幹部	White Elephant Executive
 	 	在國際佛光會的會議上，白象幹部分享了幾個成功的案例，以激勵其他成員。
 	 	At the BLIA conference, the White Elephant Executive shared several success stories to inspire other members.
 	 	白象幹部負責監督國際佛光會的重大活動，以確保一切順利進行。
 	 	The White Elephant Executive is responsible for overseeing major events of the BLIA to ensure everything runs smoothly.
 	 	對於國際佛光會的成長，白象幹部扮演了至關重要的角色。
 	 	The White Elephant Executive has played a crucial role in the growth of the BLIA.
 	 	她被任命為白象幹部，主要因為她在管理上的出色能力和領導的潛力。
 	 	She was appointed as the White Elephant Executive primarily due to her outstanding management skills and leadership potential.
督導	Elder Advisor
 	 	在佛光會的年會中，許多重要決策都會徵詢督導的建議。
 	 	During the BLIA annual conference, many important decisions are made in consultation with the Elder Advisor.
 	 	這位督導在國際佛光會中以其智慧和經驗而聞名。
 	 	The Elder Advisor is renowned within the BLIA for their wisdom and experience.
 	 	他擔任督導多年，見證了組織的成長與轉變。
 	 	He has served as an Elder Advisor for many years, witnessing the growth and transformation of the organization.
 	 	督導在理事會中的發言總是受人尊重與重視。
 	 	The Elder Advisor's opinions in the council are always respected and valued.
督導聯誼委員會	Elder Advisors Fellowship Committee
 	 	國際佛光會的督導聯誼委員會負責每年舉辦全國性的成員交流活動。
 	 	The Elder Advisors Fellowship Committee of the BLIA is responsible for organizing nationwide member interaction events annually.
 	 	擔任督導聯誼委員會的主席，需要具備良好的領導能力和協調能力。
 	 	To serve as the chairperson of the Elder Advisors Fellowship Committee, one must possess excellent leadership and coordinating skills.
 	 	在佛光山的活動中，督導聯誼委員會總是提供寶貴的建議和支持。
 	 	During the events at Fo Guang Shan, the Elder Advisors Fellowship Committee consistently offers valuable recommendations and support.
 	 	他加入督導聯誼委員會，以便更好地聯絡和支持當地的佛教團體。
 	 	He joined the Elder Advisors Fellowship Committee to better connect with and support local Buddhist groups.
短期出家修道會	Short-term Monastic Retreat
 	 	她參加了由國際佛光會舉辦的短期出家修道會，體驗了佛教徒的日常生活。
 	 	She participated in a short-term monastic retreat organized by the BLIA to experience the daily life of a Buddhist monk.
 	 	這次短期出家修道會讓他對佛法有了更深刻的理解和體會。
 	 	The short-term monastic retreat gave him a deeper understanding and experience of the Dharma.
 	 	在短期出家修道會期間，參加者有機會學習冥想和佛教經典。
 	 	During the short-term monastic retreat, participants have the opportunity to learn meditation and Buddhist scriptures.
 	 	短期出家修道會提供了一個遠離世俗生活，專注於精神修煉的空間。
 	 	The short-term monastic retreat provides a space to step away from secular life and focus on spiritual cultivation.
社會慈善委員會	Social Charity Committee
 	 	國際佛光會的社會慈善委員會每年組織多次義工活動，幫助有需要的人。
 	 	The Social Charity Committee of BLIA organizes several volunteer activities each year to help those in need.
 	 	社會慈善委員會的成員們一心不二地致力於改善社區的生活品質。
 	 	Members of the Social Charity Committee single-heartedly work to improve the quality of life in the community.
 	 	今年，社會慈善委員會的主要目標是籌措資金以支援教育項目。
 	 	This year, the Social Charity Committee's main goal is to raise funds to support educational programs.
 	 	作為國際佛光會理事會的一部分，社會慈善委員會始終如一地推動社會正能量。
 	 	As part of the BLIA Council, the Social Charity Committee consistently promotes positive social energy.
社會教化委員會	Social Enrichment Committee
 	 	國際佛光會的社會教化委員會以推廣道德教育為目標，致力於社會和諧。
 	 	The Social Enrichment Committee of BLIA aims to promote moral education and is dedicated to social harmony.
 	 	社會教化委員會的成員每月舉行一次會議，討論如何加強社區的文化活動。
 	 	Members of the Social Enrichment Committee hold a monthly meeting to discuss ways to enhance cultural activities in the community.
 	 	作為社會教化委員會的副會長，他主導了多項社會服務計劃的推行。
 	 	As the vice-chairman of the Social Enrichment Committee, he led the implementation of several social service projects.
 	 	社會教化委員會計畫明年展開一系列的公眾演講，促進社會凝聚力。
 	 	The Social Enrichment Committee plans to launch a series of public talks next year to foster social cohesion.
社會福利委員會	Social Welfare Committee
 	 	國際佛光會的社會福利委員會致力於推動社會服務活動，以提升社區的福祉。
 	 	The Social Welfare Committee of the BLIA is dedicated to promoting social service activities to enhance the well-being of the community.
 	 	社會福利委員會將舉辦年度募款活動，以籌集資金支持弱勢群體。
 	 	The Social Welfare Committee will host its annual fundraising event to raise funds to support disadvantaged groups.
 	 	作為社會福利委員會的一員，她熱衷於參與各類義工服務，貢獻其時間與精力。
 	 	As a member of the Social Welfare Committee, she is passionate about participating in various volunteer services, contributing her time and efforts.
 	 	社會福利委員會最近推出了一項新計劃，旨在改善老年人的生活品質。
 	 	The Social Welfare Committee recently launched a new program aimed at improving the quality of life for the elderly.
社會關懷組	Community Services Unit
 	 	國際佛光會的社會關懷組最近舉辦了一場關愛老人的活動，吸引了眾多志工參與。
 	 	The Community Services Unit of the BLIA recently organized an event focused on elderly care, attracting numerous volunteers.
 	 	社會關懷組在疫情期間發放了數千份食品包，以協助困難中的家庭。
 	 	During the pandemic, the Community Services Unit distributed thousands of food packages to assist families in need.
 	 	在國際佛光會的年度大會上，社會關懷組的成員分享了他們的最新成果和未來計劃。
 	 	At the BLIA annual conference, members of the Community Services Unit shared their latest achievements and future plans.
 	 	社會關懷組一直致力於推動社區的和諧與關懷文化，每月舉辦多元化的社區活動。
 	 	The Community Services Unit is committed to promoting harmony and a culture of care in the community by organizing diverse activities every month.
祈求世界和平活動	Prayer for World Peace Ceremony
 	 	國際佛光會在年度祈求世界和平活動中吸引了成千上萬的參與者。
 	 	Thousands of participants were drawn to the annual Prayer for World Peace Ceremony organized by BLIA.
 	 	祈求世界和平活動旨在透過共同的冥想和祈禱來促進全球和諧。
 	 	The Prayer for World Peace Ceremony aims to promote global harmony through collective meditation and prayers.
 	 	BLIA的行政文書組負責組織和協調這場祈求世界和平的活動。
 	 	BLIA's Administrative Secretariat is responsible for organizing and coordinating the Prayer for World Peace Ceremony.
 	 	作為祈求世界和平活動的一部分，會長在開幕致辭中強調了和平的重要性。
 	 	As part of the Prayer for World Peace Ceremony, the President emphasized the importance of peace in her opening remarks.
禪淨修持組	Ch'an and Pure Land Cultivation Unit
 	 	國際佛光會的禪淨修持組每週定期舉辦靜坐與念佛活動，吸引了許多信眾參加。
 	 	The Ch'an and Pure Land Cultivation Unit of BLIA holds regular weekly meditation and chanting sessions, attracting many practitioners.
 	 	她在禪淨修持組中擔任指導老師，幫助會員靜心與專注。
 	 	She serves as an instructor in the Ch'an and Pure Land Cultivation Unit, helping members focus and attain mindfulness.
 	 	禪淨修持組的年度活動營提供了一個深入學習佛教禪修和淨土法門的機會。
 	 	The annual retreat organized by the Ch'an and Pure Land Cultivation Unit offers an opportunity for in-depth learning of Buddhist Ch'an meditation and Pure Land practices.
 	 	為了提升個人的修持水平，他決定加入國際佛光會的禪淨修持組。
 	 	To enhance his personal cultivation, he decided to join the Ch'an and Pure Land Cultivation Unit of BLIA.
禪淨共修獻燈祈福法會	Chan and Pure Land Prayer Service
 	 	國際佛光會(BLIA)舉辦了禪淨共修獻燈祈福法會，成員們齊聚一堂，祈求世界和平。
 	 	The Buddha's Light International Association (BLIA) hosted a Chan and Pure Land Prayer Service, where members gathered to pray for world peace.
 	 	在禪淨共修獻燈祈福法會上，會長分享了關於如何在日常生活中實踐佛法的心得。
 	 	During the Chan and Pure Land Prayer Service, the president shared insights on practicing Buddhism in daily life.
 	 	參加禪淨共修獻燈祈福法會的信眾將點燃的燈籠排列成祈福的圖案。
 	 	Participants of the Chan and Pure Land Prayer Service arranged the lit lanterns into a pattern symbolizing prayers for blessings.
 	 	禪淨共修獻燈祈福法會不僅提供了修行的機會，也加深了成員之間的友誼。
 	 	The Chan and Pure Land Prayer Service not only provided an opportunity for spiritual practice but also deepened the friendship among members.
禪淨密三修獻燈祈福法會	Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony
 	 	國際佛光會的會員們齊聚一堂，參加禪淨密三修獻燈祈福法會，祈願世界和平。
 	 	Members of BLIA gathered together to attend the Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony, praying for world peace.
 	 	在禪淨密三修獻燈祈福法會上，會長致辭表示希望藉此活動凝聚信眾和信仰的力量。
 	 	During the Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony, the president expressed hopes to unite the strength of devotees and faith through this event.
 	 	為了籌備禪淨密三修獻燈祈福法會，行政文書組忙碌地安排一切事宜，確保活動順利進行。
 	 	To prepare for the Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony, the administrative documentation team busily arranged everything to ensure the event proceeded smoothly.
 	 	這場禪淨密三修獻燈祈福法會吸引了大量信眾參加，大家在心中默默許願，希望家庭幸福安康。
 	 	The Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony attracted a large number of devotees, who silently made wishes in their hearts for family happiness and well-being.
禪與生活	Chan and Life
 	 	禪與生活的結合讓我們以更清晰和平靜的心態面對日常挑戰。
 	 	The integration of Chan and life allows us to face daily challenges with a clearer and more peaceful mindset.
 	 	通過禪與生活的修行，他找到了內心的平和與滿足。
 	 	Through the practice of Chan and life, he found inner peace and contentment.
 	 	國際佛光會理事會推廣禪與生活的活動，以提升會員的精神健康。
 	 	The BLIA Council promotes activities of Chan and life to enhance the spiritual well-being of its members.
 	 	她在國際佛光會擔任主席期間，強調禪與生活的教育，讓更多人受益。
 	 	During her tenure as a chairperson in BLIA, she emphasized education in Chan and Life, benefiting more people.
秘書處	Secretarial Affairs Office
 	 	國際佛光會的秘書處負責日常的行政工作，確保組織運行順暢。
 	 	The Secretarial Affairs Office of the BLIA is responsible for daily administrative tasks, ensuring the organization's smooth operation.
 	 	她在國際佛光會的秘書處工作多年，積累了豐富的經驗與技能。
 	 	She has worked in the Secretarial Affairs Office of the BLIA for many years, accumulating a wealth of experience and skills.
 	 	秘書處的員工們協力合作，以達成國際佛光會的各項活動目標。
 	 	The staff at the Secretarial Affairs Office collaborate to achieve the goals of various BLIA events and activities.
 	 	最近，秘書處引入了一套新系統，以提高工作效率和文件管理。
 	 	Recently, the Secretarial Affairs Office has implemented a new system to enhance work efficiency and document management.
秘書長	Secretary-General
 	 	國際佛光會的秘書長負責協調各分會的活動，確保資訊的流暢交流。
 	 	The Secretary-General of the BLIA is responsible for coordinating activities across chapters and ensuring smooth communication of information.
 	 	在法會上，秘書長發表了關於我們未來計畫的重要演講。
 	 	At the Dharma assembly, the Secretary-General delivered an important speech about our future plans.
 	 	秘書長的任務是促進組織內部的和諧與效率。
 	 	The Secretary-General's task is to promote harmony and efficiency within the organization.
 	 	秘書長每天都要處理大量的行政事務，確保各項工作的正常運作。
 	 	The Secretary-General deals with a large amount of administrative tasks every day to ensure the smooth running of operations.
章程	Articles of Incorporation
 	 	國際佛光會的章程詳細規範了組織的宗旨、目標和管理結構。
 	 	The Articles of Incorporation of the BLIA detail the organization's purpose, objectives, and management structure.
 	 	修改章程需要得到國際佛光會理事會的批准。
 	 	Amendments to the Articles of Incorporation require approval from the BLIA Board of Directors.
 	 	新會員需要認同並遵循國際佛光會的章程。
 	 	New members are required to acknowledge and adhere to the BLIA's Articles of Incorporation.
 	 	國際佛光會的章程在年度大會上被重新審視與確認。
 	 	The BLIA's Articles of Incorporation are reviewed and reaffirmed at the annual conference.
第一次世界大會	BLIA First General Conference
 	 	國際佛光會第一次世界大會在洛杉磯隆重召開，吸引了世界各地的成員參加。
 	 	The BLIA First General Conference was grandly held in Los Angeles, attracting members from all over the world.
 	 	在第一次世界大會上，會長發表了富有啟發性的演講。
 	 	During the BLIA First General Conference, the president delivered an inspiring speech.
 	 	第一次世界大會締造了一個團結和合作的平台，促進了國際佛光會的全球聯繫。
 	 	The BLIA First General Conference established a platform for unity and collaboration, enhancing BLIA's global connections.
 	 	許多未來的計劃和策略在第一次世界大會上討論並確立。
 	 	Many future plans and strategies were discussed and established at the BLIA First General Conference.
第二屆第四次理事會	Fourth Meeting of the Second Board of Directors
 	 	在國際佛光會第二屆第四次理事會上，成員們討論了未來一年的發展策略。
 	 	During the Fourth Meeting of the Second Board of Directors of BLIA, members discussed development strategies for the upcoming year.
 	 	國際佛光會會長在第二屆第四次理事會上強調了佛教慈善工作的重要性。
 	 	The President of BLIA emphasized the importance of Buddhist charity work at the Fourth Meeting of the Second Board of Directors.
 	 	第二屆第四次理事會由於諸多議題而開會時間延長。
 	 	The Fourth Meeting of the Second Board of Directors was extended due to numerous agenda items.
 	 	國際佛光會的成員們努力在第二屆第四次理事會中達成共識，以促進組織的發展。
 	 	Members of BLIA strived to reach a consensus during the Fourth Meeting of the Second Board of Directors to promote the growth of the organization.
籌備會	Organizing Committee
 	 	國際佛光會的籌備會正在策劃下一屆大會的各項事宜。
 	 	The Organizing Committee of BLIA is planning various aspects of the upcoming conference.
 	 	籌備會集合了各個單位的代表，共同協調今年的活動安排。
 	 	The Organizing Committee gathered representatives from various departments to coordinate this year's event arrangement.
 	 	她被選為籌備會的主席，負責指導整個籌備過程。
 	 	She was appointed as the chairperson of the Organizing Committee, responsible for overseeing the entire preparation process.
 	 	籌備會每週定期開會，以確保所有的準備工作都按時完成。
 	 	The Organizing Committee meets weekly to ensure all preparations are completed on time.
籌建佛光休閒中心委員會	Buddha's Light Resort Planning Committee
 	 	籌建佛光休閒中心委員會於今年成立，旨在推廣佛教文化休閒活動。
 	 	The Buddha's Light Resort Planning Committee was established this year with the aim of promoting Buddhist cultural leisure activities.
 	 	會長於會議中強調籌建佛光休閒中心委員會的重要性，以促進地方經濟發展。
 	 	The president highlighted the importance of the Buddha's Light Resort Planning Committee during the meeting to boost local economic development.
 	 	籌建佛光休閒中心委員會正在徵求志願者，協助未來活動的策劃與執行。
 	 	The Buddha's Light Resort Planning Committee is seeking volunteers to assist in the planning and execution of future events.
 	 	理事會欣然批准了籌建佛光休閒中心委員會的預算，以推動項目的順利進行。
 	 	The council gladly approved the budget for the Buddha's Light Resort Planning Committee to ensure the smooth progress of the project.
素食品嚐會	Vegetarian Food Fair
 	 	國際佛光會正在舉辦一場素食品嚐會，邀請大家前來品嚐健康美味的素食佳餚。
 	 	The Buddha's Light International Association is hosting a Vegetarian Food Fair, inviting everyone to taste delicious and healthy vegetarian cuisine.
 	 	素食品嚐會上有來自世界各地的各式素食，讓人目不暇給。
 	 	The Vegetarian Food Fair features a wide variety of vegetarian dishes from around the world, offering a feast for the eyes and the palate.
 	 	素食品嚐會的目的是推廣環保飲食和低碳生活。
 	 	The aim of the Vegetarian Food Fair is to promote eco-friendly eating and low-carbon living.
 	 	為了支持素食品嚐會，許多當地餐廳也加入提供特製的素食佳肴。
 	 	To support the Vegetarian Food Fair, many local restaurants have also joined in, offering specially crafted vegetarian dishes.
組織圖例	Organization Chart
 	 	國際佛光會設計了一個詳細的組織圖例，以清晰地展示各部門之間的關係。
 	 	The BLIA designed a detailed organization chart to clearly show the relationships between different departments.
 	 	行政文書組更新了組織圖例，以反映最新的職位變動。
 	 	The Administration and Documentation Unit updated the organization chart to reflect the latest changes in positions.
 	 	新入職的員工通過組織圖例了解了各個部門和他們的職責。
 	 	The new employees learned about the different departments and their responsibilities through the organization chart.
 	 	會長會議時，組織圖例被用來說明提案的結構和資源的分配。
 	 	During the president's meeting, the organization chart was used to explain the proposal's structure and resource allocation.
網路資訊組	Internet Unit
 	 	國際佛光會的網路資訊組負責更新和維護網站內容。
 	 	The Internet Unit of the BLIA is responsible for updating and maintaining the website content.
 	 	網路資訊組正在開發一個新的在線系統，以提高會員之間的互動。
 	 	The Internet Unit is developing a new online system to enhance interactions among members.
 	 	會長要求網路資訊組加強數據保護措施以確保資訊安全。
 	 	The president requested the Internet Unit to enhance data protection measures to ensure information security.
 	 	網路資訊組組織了一次培訓，幫助志工增進他們的數位技能。
 	 	The Internet Unit organized a training session to help volunteers improve their digital skills.
總務管理組	General Affairs Unit
 	 	總務管理組負責組織所有重要的活動，確保每個細節都完美無瑕。
 	 	The General Affairs Unit is responsible for organizing all major events, ensuring every detail is flawless.
 	 	如果您對會堂設施有任何疑問，可以聯繫我們的總務管理組。
 	 	If you have any questions about the facility, you can contact our General Affairs Unit.
 	 	總務管理組的成員來自不同國家，展現了國際佛光會的多元化。
 	 	Members of the General Affairs Unit come from different countries, showcasing the diversity of BLIA.
 	 	今年，我們將為總務管理組提供一系列的專業培訓，以提升他們的能力。
 	 	This year, we will provide a series of professional training sessions for the General Affairs Unit to enhance their capabilities.
總會長	President (BLIA World HQ)
 	 	國際佛光會總會長在年度大會上闡述了未來一年的計劃和目標。
 	 	The President of BLIA World HQ outlined the plans and goals for the coming year at the annual conference.
 	 	總會長訪問了各地分會，與會員們分享他在推動佛教事務方面的經驗。
 	 	The President of BLIA World HQ visited various chapters to share his experiences in promoting Buddhist affairs.
 	 	在全球疫情期間，總會長呼籲各地會員加強社會服務，幫助受影響的社群。
 	 	During the global pandemic, the President of BLIA World HQ urged members worldwide to enhance social services and assist affected communities.
 	 	總會長強調了國際佛光會在促進跨文化理解與和諧方面的重要作用。
 	 	The President of BLIA World HQ emphasized the important role of BLIA in promoting cross-cultural understanding and harmony.
署理會長	Acting President (BLIA World HQ)
 	 	在會長出訪期間，由署理會長主持會議，確保國際佛光會的運行不受影響。
 	 	During the president's overseas trip, the Acting President (BLIA World HQ) presided over the meeting to ensure the seamless operation of the BLIA.
 	 	署理會長積極推進佛光會的各項活動，增強全球成員之間的聯繫。
 	 	The Acting President (BLIA World HQ) actively facilitated various activities of the BLIA, strengthening the connections among its global members.
 	 	署理會長於今年上半年參加了多個國際佛教論壇，代表佛光會發表演講。
 	 	The Acting President (BLIA World HQ) attended several international Buddhist forums this past semester, delivering speeches on behalf of the BLIA.
 	 	在署理會長帶領下，國際佛光會的新增會員數量達到了歷史新高。
 	 	Under the leadership of the Acting President (BLIA World HQ), the number of new members joining the BLIA reached a record high.
美中聯誼委員會	America Central Fellowship Committee
 	 	美中聯誼委員會定期舉辦文化交流活動，促進中美兩國人民的相互理解。
 	 	The America Central Fellowship Committee regularly organizes cultural exchange events to promote mutual understanding between the people of China and the United States.
 	 	在國際佛光會的支持下，美中聯誼委員會成功舉辦了一場慈善晚宴，籌集了大量善款。
 	 	With support from the BLIA, the America Central Fellowship Committee successfully hosted a charity dinner, raising significant funds.
 	 	美中聯誼委員會會長在年終總結會上表彰了多位傑出的志工和成員。
 	 	At the year-end summary meeting, the President of the America Central Fellowship Committee recognized several outstanding volunteers and members.
 	 	美中聯誼委員會的年度報告顯示了過去一年在促進國際合作中的多項成就。
 	 	The annual report of the America Central Fellowship Committee highlighted numerous achievements in promoting international cooperation over the past year.
美東聯誼委員會	America East Fellowship Committee
 	 	國際佛光會美東聯誼委員會將主辦年度佛學講座，歡迎所有會員參加。
 	 	The America East Fellowship Committee of BLIA will host the annual Buddhist lecture series, welcoming all members to attend.
 	 	美東聯誼委員會的成員共同努力組織了這次成功的募款晚宴。
 	 	The members of the America East Fellowship Committee worked together to organize this successful fundraising dinner.
 	 	作為美東聯誼委員會的主席，她積極推動跨文化交流活動。
 	 	As the chairperson of the America East Fellowship Committee, she actively promotes cross-cultural exchange programs.
 	 	美東聯誼委員會討論了增強會員聯繫的方法，並計劃未來一年的活動日程。
 	 	The America East Fellowship Committee discussed ways to enhance member connections and planned the event schedule for the upcoming year.
美西聯誼委員會	America West Fellowship Committee
 	 	國際佛光會美西聯誼委員會計劃舉辦一場大型的佛學研討會，吸引了數百名參加者。
 	 	The BLIA America West Fellowship Committee is planning to host a large-scale Buddhist seminar, attracting hundreds of participants.
 	 	作為美西聯誼委員會的成員，她有機會協助組織許多次社區服務活動。
 	 	As a member of the America West Fellowship Committee, she has the opportunity to help organize numerous community service activities.
 	 	美西聯誼委員會正在尋求志願者以協助年度慶典的籌備工作。
 	 	The America West Fellowship Committee is seeking volunteers to assist in organizing the annual celebration.
 	 	他在美西聯誼委員會的貢獻獲得了理事會的高度讚揚。
 	 	His contributions to the America West Fellowship Committee were highly praised by the council.
聘任證書	Employment Certificate
 	 	國際佛光會(BLIA)為新任會長頒發了聘任證書，以表彰其領導地位。
 	 	BLIA issued an employment certificate to the newly appointed president to acknowledge their leadership position.
 	 	當他加入國際佛光會的理事會時，他收到了一份正式的聘任證書。
 	 	When he joined the board of directors at BLIA, he received an official employment certificate.
 	 	這份聘任證書證明她在國際佛光會的行政文書組中擔任了重要角色。
 	 	This employment certificate proves her crucial role in the administrative documentation division of BLIA.
 	 	每位新成員在加入國際佛光會的團隊時都會獲得一份聘任證書。
 	 	Every new member receives an employment certificate upon joining the team at BLIA.
聘任辦法	Employment Procedure
 	 	根據國際佛光會的聘任辦法，所有新職員必須完成三個月的培訓期。
 	 	According to the Employment Procedure of BLIA, all new staff members must complete a three-month training period.
 	 	理事會正在修訂聘任辦法，以確保所有員工享有平等的機會。
 	 	The board of directors is revising the Employment Procedure to ensure equal opportunities for all employees.
 	 	她在瞭解了聘任辦法後，決定申請國際佛光會的行政職位。
 	 	After understanding the Employment Procedure, she decided to apply for an administrative position at the BLIA.
 	 	聘任辦法詳細列出了各種職位的責任和權利，確保運作的透明性。
 	 	The Employment Procedure details the responsibilities and rights of various positions, ensuring operational transparency.
聘書	Employment Contract
 	 	他在加入國際佛光會擔任會長時，收到了正式的聘書。
 	 	He received an official employment contract when he joined the Buddha's Light International Association as the Chairman.
 	 	國際佛光會的行政文書組負責準備新成員的聘書。
 	 	The Document Administration Unit of the Buddha's Light International Association is responsible for preparing employment contracts for new members.
 	 	在簽署聘書之前，請仔細檢查所有條款和細節。
 	 	Please review all terms and details carefully before signing the employment contract.
 	 	她對於國際佛光會提供的聘書感到非常滿意，因為它符合她的期望。
 	 	She was very satisfied with the employment contract offered by the Buddha's Light International Association as it met her expectations.
職訓聯絡組	Training & Development Unit
 	 	國際佛光會的職訓聯絡組最近更新了培訓課程，以提高成員的技能。
 	 	The BLIA's Training & Development Unit recently updated their training programs to enhance members' skills.
 	 	她在職訓聯絡組的工作中展現了卓越的組織能力，使所有活動井然有序。
 	 	She demonstrated exceptional organizational skills in her role at the Training & Development Unit, ensuring all activities ran smoothly.
 	 	校友們可以透過職訓聯絡組的活動網絡，獲得更多的職業發展機會。
 	 	Alumni can access more career development opportunities through the network of activities organized by the Training & Development Unit.
 	 	這次會議由職訓聯絡組策劃，旨在幫助新進成員適應組織的工作文化。
 	 	The conference, organized by the Training & Development Unit, aims to help new members adapt to the organization’s work culture.
自然與生命	Nature and Life
 	 	他總是喜歡在大自然中漫步，感受自然與生命的和諧。
 	 	He always loves to take walks in nature, feeling the harmony of nature and life.
 	 	這本書探討了自然與生命的關係，並如何保持這種和諧。
 	 	This book explores the relationship between nature and life and how to maintain this harmony.
 	 	她通過冥想來體會自然與生命之美，使心靈得到淨化。
 	 	She experiences the beauty of nature and life through meditation, cleansing her mind.
 	 	在國際佛光會的環保活動中，成員們學習到了保護自然與生命的重要性。
 	 	During BLIA's environmental activities, members learned the importance of protecting nature and life.
自覺與行佛	Self-awareness and Practicing the Buddha’s Way
 	 	他每天早晨都會靜坐以提升自覺與行佛的能力。
 	 	He meditates every morning to enhance his self-awareness and practice the Buddha’s way.
 	 	自覺與行佛之道，幫助她在逆境中保持平和的心態。
 	 	Self-awareness and practicing the Buddha’s way help her maintain a calm mindset during adversity.
 	 	國際佛光會的會長強調自覺與行佛的重要性，作為精神修行的核心。
 	 	The President of BLIA emphasized the importance of self-awareness and practicing the Buddha’s way as the core of spiritual cultivation.
 	 	透過自覺與行佛，他逐漸看到了生命的本質，並找到了內心的平靜。
 	 	Through self-awareness and practicing the Buddha’s way, he gradually saw the essence of life and found inner peace.
花藝大展	Floral Exhibition
 	 	國際佛光會的會員們正在籌備一場盛大的花藝大展，期待吸引眾多愛好者參加。
 	 	The members of BLIA are organizing a grand floral exhibition, hoping to attract many enthusiasts.
 	 	花藝大展展示了來自世界各地的花卉藝術作品，展現了不同文化的美麗。
 	 	The floral exhibition showcased floral art from around the world, reflecting the beauty of different cultures.
 	 	作為國際佛光會的活動，這次花藝大展還包括一系列精彩的工作坊和講座。
 	 	As an event by BLIA, the floral exhibition also includes a series of engaging workshops and lectures.
 	 	我最喜歡的花藝大展部分是那些用花材創作的各種創新設計。
 	 	My favorite part of the floral exhibition was the innovative designs created using flower materials.
菩提眷屬	Bodhi Couple
 	 	他們被稱為佛門中的菩提眷屬，因為他們不僅在家中互相支持，也在修行上互相成長。
 	 	They are referred to as a Bodhi Couple in the Buddhist community because they not only support each other at home but also grow together in their spiritual practice.
 	 	作為菩提眷屬，他們共同致力於推廣佛教教育，並積極參加國際佛光會(BLIA)的活動。
 	 	As a Bodhi Couple, they are committed to promoting Buddhist education and actively participate in BLIA activities.
 	 	在國際佛光會(BLIA)的年會上，這對菩提眷屬被表彰為該年度最具影響力的佛教家庭。
 	 	At the BLIA annual conference, this Bodhi Couple was recognized as the most influential Buddhist family of the year.
 	 	他們在自己的社區中樹立了作為菩提眷屬的榜樣，展示了佛教信仰在家庭生活中的重要性。
 	 	They set an example as a Bodhi Couple in their community, demonstrating the importance of Buddhist faith in family life.
菩提種子	bodhi seeds
 	 	在佛教中，菩提種子象徵著覺悟和智慧。
 	 	In Buddhism, bodhi seeds symbolize enlightenment and wisdom.
 	 	他們在寺廟的花園中種下菩提種子，希望能啟發更多人的靈性之路。
 	 	They planted bodhi seeds in the temple's garden, hoping to inspire more people's spiritual journey.
 	 	這些菩提種子被視為神聖的象徵，許多人會將它們製成念珠。
 	 	These bodhi seeds are considered sacred symbols, and many people fashion them into prayer beads.
 	 	國際佛光會的青年理事會成員將菩提種子分發給參加活動的各界人士，傳遞和平與善良的訊息。
 	 	Members of the BLIA Youth Council distributed bodhi seeds to participants, spreading messages of peace and goodwill.
菩薩與義工	Bodhisattva and Volunteer
 	 	國際佛光會的義工們如同菩薩般服務人群，無私奉獻。
 	 	The volunteers of the BLIA serve the community like Bodhisattvas, with selfless dedication.
 	 	每位義工都可以視為現代的菩薩，因為他們致力於減輕他人的痛苦。
 	 	Each volunteer can be seen as a modern-day Bodhisattva as they are committed to alleviating the suffering of others.
 	 	在會長的帶領下，義工們學習菩薩的精神，努力在社區中傳播慈悲和智慧。
 	 	Under the president's leadership, the volunteers learn the spirit of the Bodhisattva, striving to spread compassion and wisdom within the community.
 	 	行政文書組的義工們就像菩薩一樣，在幕後默默無聞地支持所有活動。
